Time,TotalPrivateBytes,TimeWorkingSet
16:15:38,4891082752,7358263296
16:15:43,4888145920,7368224768
16:15:48,4891021312,7390146560
16:15:53,4890996736,7388827648
16:15:58,4890705920,7387803648
16:16:03,4894400512,7391772672
16:16:08,4892561408,7390072832
16:16:13,4890468352,7389347840
16:16:18,4889194496,7392309248
16:16:23,4888854528,7393165312
16:16:28,4888227840,7392583680
16:16:33,4890632192,7395880960
16:16:38,4904800256,7418081280
16:16:43,4895252480,7409704960
16:16:48,4982566912,7510982656
16:16:53,4999921664,7547772928
16:16:58,5038366720,7657537536
16:17:03,5031403520,7658508288
16:17:08,5105782784,7738585088
16:17:13,5315215360,7782891520
16:17:18,5237596160,7838281728
16:17:23,5246238720,7843459072
16:17:28,5244915712,7842820096
16:17:33,5261357056,7860334592
16:17:38,5261766656,7731437568
16:17:43,5231415296,7814045696
16:17:48,5226352640,7627218944
16:17:53,5237116928,7640969216
16:17:58,5238157312,7639625728
16:18:03,5235621888,7640240128
16:18:08,5233700864,7637889024
16:18:13,5233565696,7637057536
16:18:18,5233922048,7637217280
16:18:23,5233143808,7637868544
16:18:28,5233278976,7638560768
16:18:33,5235666944,7642370048
16:18:38,5240147968,7650349056
16:18:43,5234176000,7647162368
16:18:48,5232656384,7643983872
16:18:53,5231800320,7643144192
16:18:58,5231775744,7642460160
16:19:03,5234171904,7644479488
16:19:08,5232824320,7643344896
16:19:13,5231239168,7632396288
16:19:18,5231915008,7632465920
16:19:23,5232451584,7632568320
16:19:28,5229948928,7631585280
16:19:33,5232222208,7633620992
16:19:38,5259005952,7665098752
16:19:43,5250637824,7652929536
16:19:48,5241458688,7643975680
16:19:53,5241540608,7644684288
16:19:58,5277794304,7840493568
16:20:03,5340860416,7951413248
16:20:08,5306486784,7912443904
16:20:13,5298106368,7779414016
16:20:18,5294956544,7776382976
16:20:23,5294895104,7770386432
16:20:28,5295140864,7771299840
16:20:33,5295570944,7775379456
16:20:38,5292249088,7771602944
16:20:43,5292838912,7772565504
16:20:48,5292015616,7772385280
16:20:53,5292265472,7773331456
16:20:58,5320323072,7854022656
16:21:03,5329694720,7871496192
16:21:08,5324652544,7867138048
16:21:13,5314142208,7842299904
16:21:18,5153689600,7705137152
16:21:23,5148000256,7698493440
16:21:28,5332602880,7716417536
16:21:33,5334892544,7848960000
16:21:38,5332262912,7846985728
16:21:43,5332021248,7847165952
16:21:48,5325991936,7843565568
16:21:53,5324894208,7839461376
16:21:58,5315260416,7815872512
16:22:03,5303857152,7779717120
16:22:08,5298368512,7775440896
16:22:13,5301104640,7778516992
16:22:18,5323386880,7821385728
16:22:23,5334609920,7847710720
16:22:28,5324226560,7838253056
16:22:33,5320146944,7821385728
16:22:38,5312966656,7812640768
16:22:43,5312184320,7812603904
16:22:48,5312393216,7709663232
16:22:53,5311016960,7709589504
16:22:58,5311574016,7709179904
16:23:03,5319868416,7732498432
16:23:08,5318107136,7731814400
16:23:13,5312294912,7712018432
16:23:18,5310496768,7709736960
16:23:23,5312401408,7713525760
16:23:28,5336104960,7734865920
16:23:33,5331480576,7731003392
16:23:38,5322055680,7721771008
16:23:43,5320544256,7720239104
16:23:48,5319884800,7720280064
16:23:53,5320167424,7720108032
16:23:58,5312933888,7704965120
16:24:03,5315792896,7708180480
16:24:08,5313118208,7706587136
16:24:13,5312245760,7706329088
16:24:18,5309800448,7703113728
16:24:23,5304209408,7684849664
16:24:28,5304299520,7685627904
16:24:33,5306212352,7687766016
16:24:38,5304381440,7686402048
16:24:43,5304410112,7686078464
16:24:48,5311041536,7706247168
16:24:53,5304946688,7690645504
16:24:58,5437169664,7830016000
16:25:03,5404635136,7782965248
16:25:08,5328330752,7708053504
16:25:13,5063016448,7444918272
16:25:18,5042876416,7364087808
16:25:23,5108199424,7345840128
16:25:28,5006352384,7324024832
16:25:33,5007007744,7326638080
16:25:38,5000216576,7331676160
16:25:43,4996780032,7345258496
